,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
226,50,12,3,2,log2,42,14,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_cont_kurtosis_23', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9590990119176398,0.045736638090108514,0.8235474017388164,0.08639193258425334,0.8114969803941502
782,700,8,3,2,log2,42,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9637788116939254,0.043040636520809035,0.819964447044917,0.08726463949180366,0.8113503057552001
570,200,18,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9613001657685614,0.04448892283522722,0.8165073971857796,0.08809848518259315,0.8113385914727029
761,700,5,3,2,log2,42,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9504763292577137,0.050327313964091555,0.8172770357022862,0.08791353157983468,0.8112437302773616
831,700,15,3,2,log2,42,9,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9659478023634691,0.04173206844936426,0.8189203197882287,0.08751732198012337,0.811159762064867
423,100,18,3,2,log2,42,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9684871590316034,0.04014589249246707,0.8189047514272063,0.08752108405872498,0.8111435264883723
112,25,15,3,2,log2,42,8,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.961761919601342,0.04422271269170648,0.8179306136009998,0.08775616270740834,0.8110275089034074
522,200,12,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9616061142471135,0.04431271630785652,0.816167184666312,0.08818011879394366,0.8109887955019828
710,500,18,3,2,log2,42,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_cor_kurtosis_62']",0.9650086531028221,0.042303633239068335,0.8196047650581857,0.08735176633211264,0.8109734141040319
451,200,3,3,2,log2,42,5,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9224094768493533,0.06299436150878095,0.8152241900293147,0.08840599526501543,0.8109069982075697
708,500,18,3,2,log2,42,12,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.964124325927829,0.042834862118779626,0.8212393698004091,0.08695510801946282,0.8108764347163748
188,50,5,3,2,log2,42,4,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51']",0.9561391007021988,0.04736266206487744,0.8142952122220223,0.08862795137699615,0.8108402394261529
690,500,15,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9605194709907832,0.04493542152249195,0.8159321729466431,0.08823646548691276,0.8107471637338726
228,50,12,3,2,log2,42,12,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_cor_kurtosis_62']",0.9580016825311779,0.04634610961051647,0.8210878527550125,0.0869919516757108,0.8107161340741437
595,500,3,3,2,log2,42,5,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9237768006680815,0.06243684148703718,0.8149634857841876,0.08846834026116479,0.8106402027417621
1073,1200,8,3,2,log2,42,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9587056789582062,0.045956029897968244,0.816541956502634,0.0880901884807424,0.8104843795947021
254,50,15,3,2,log2,42,10,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_cor_kurtosis_62']",0.970113382458172,0.03909630565538488,0.8191047804492348,0.08747273493322522,0.8104495067865188
468,200,5,3,2,log2,42,12,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9563377918272075,0.04725526319171001,0.8207410717018716,0.08707621805215028,0.8103492497715453
834,700,15,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9612511785885394,0.04451707150396542,0.8154359493929788,0.08835532260378424,0.810236962051936
